source_id,ra,ra_error,dec,dec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,a_g_val,e_bp_min_rp_val
17418273,235.15720000106907,0.005149516,10.020859999648339,0.004458077,1779496.2,240.86432,10.062657,1112220.1,713.8763,10.235924,858547.75,558.20105,9.927489,0.0,0.0
17418274,235.26165999788992,0.005150775,10.025829999928865,0.0044611655,1558733.6,210.9158,10.2064705,937470.7,601.6825,10.421506,787445.8,511.27936,10.021348,0.0,0.0
17418275,235.5683199999485,0.0051397914,10.053779999486725,0.004458318,920389.44,124.408295,10.778471,553550.7,354.90128,10.993507,464965.66,301.5775,10.593348,0.0,0.0
17418276,234.7346200000077,0.005179512,10.14044000060202,0.0044844933,807482.5,109.2893,10.9205675,370091.66,238.12628,11.430627,522409.88,337.89688,10.466872,0.0,0.0
17418277,235.70156000057716,0.005124271,10.148760000244359,0.004452836,1122357.8,151.51689,10.563072,691627.7,442.8054,10.751719,553474.7,358.72516,10.404156,0.0,0.0
17418278,235.86401000281876,0.005120782,10.16461999992968,0.00445339,784100.1,105.79282,10.952472,471582.06,302.01645,11.167507,396114.94,256.85693,10.767347,0.0,0.0
17418279,236.19596000062725,0.0051420755,10.198909998962039,0.0044793724,939132.4,126.56281,10.756583,393002.78,251.80998,11.365412,648817.2,417.11264,10.231594,0.0,0.0
17418280,234.6134399996904,0.0051703085,10.210329999731272,0.004478832,707515.94,95.724266,11.06406,344388.25,221.78578,11.50878,435991.7,282.8841,10.663204,0.0,0.0
17418281,234.49672000044953,0.005150121,10.23988000031531,0.004461234,27257010.0,3687.8364,7.099704,16352851.0,10494.688,7.3174167,13824162.0,8974.188,6.910304,0.0,0.0
17418282,234.93253999930062,0.005128058,10.268720001560197,0.0044510327,813386.44,109.89443,10.912658,520382.2,333.4575,11.060595,382603.88,248.64479,10.805027,0.0,0.0
17418283,235.52900000004576,0.0051205964,10.298410000173575,0.0044560833,4486212.0,605.0203,9.058701,2590368.5,1657.4629,9.317997,2370902.5,1532.8027,8.824616,0.0,0.0
17418284,234.3656399986016,0.0052024294,10.323440000339996,0.004509538,1229185.0,166.22893,10.464357,360322.72,232.18079,11.459671,1028882.56,661.9137,9.730986,0.0,0.0
